WO ref,PROCESS,PART #,PART DESCRIPT,CUSTOMER,HOURS O/S,OP #,OP DESCRIPT,REQ'D DATE,PERIOD
58568/1.01,MILLING,MP/IMP2/0000-0515,"0000-0515 Rev 01   DOCKING PROBE NOSE (ACETAL, BLACK)",FUGRO GB (NORTH) MARINE LTD,0.67,50,MILL,15/04/2021,
58568/1.01,MILLING,MP/IMP2/0000-0515,"0000-0515 Rev 01   DOCKING PROBE NOSE (ACETAL, BLACK)",FUGRO GB (NORTH) MARINE LTD,1.08,40,MILL,15/04/2021,
58568/1.01,TURNING,MP/IMP2/0000-0515,"0000-0515 Rev 01   DOCKING PROBE NOSE (ACETAL, BLACK)",FUGRO GB (NORTH) MARINE LTD,0.2,30,TURN,15/04/2021,
58568/1.01,TURNING,MP/IMP2/0000-0515,"0000-0515 Rev 01   DOCKING PROBE NOSE (ACETAL, BLACK)",FUGRO GB (NORTH) MARINE LTD,0.88,20,TURN,15/04/2021,
58568/2.01,MILLING,MP/IMP2/8069-0500,"8069-0500 Rev 02   CAMERA HOLDER, HALF CLAMP (HDPE, NATURAL)",FUGRO GB (NORTH) MARINE LTD,0.4,50,MILL HOLES & C-BORES,15/04/2021,
58568/2.01,MILLING,MP/IMP2/8069-0500,"8069-0500 Rev 02   CAMERA HOLDER, HALF CLAMP (HDPE, NATURAL)",FUGRO GB (NORTH) MARINE LTD,2.53,40,MILL FLAT,15/04/2021,
58568/2.01,MILLING,MP/IMP2/8069-0500,"8069-0500 Rev 02   CAMERA HOLDER, HALF CLAMP (HDPE, NATURAL)",FUGRO GB (NORTH) MARINE LTD,0.7,30,MILL,15/04/2021,
58568/2.01,TURNING,MP/IMP2/8069-0500,"8069-0500 Rev 02   CAMERA HOLDER, HALF CLAMP (HDPE, NATURAL)",FUGRO GB (NORTH) MARINE LTD,1.42,20,TURN,15/04/2021,
58706/1.01,TURNING,MP/MET3/771-114,"771-114  Rev B   MOUNT BLOCK, ELECTRICAL CONNECTOR, M14.5x1 P, 37mm LG  (PEEK 450G) ",METROL TECHNOLOGY LIMITED,2.25,20,TURN,15/04/2021,
58706/1.01,MILLING,MP/MET3/771-114,"771-114  Rev B   MOUNT BLOCK, ELECTRICAL CONNECTOR, M14.5x1 P, 37mm LG  (PEEK 450G) ",METROL TECHNOLOGY LIMITED,3.75,30,MILL,15/04/2021,
58706/2.01,TURNING,MP/MET3/771-018,"771-018  Rev B   MOUNT BLOCK, ELECTRICAL CONNECTOR, M14.5x1 P, 24mm LG  (PEEK 450G) ",METROL TECHNOLOGY LIMITED,1.42,20,TURN,15/04/2021,
58706/2.01,MILLING,MP/MET3/771-018,"771-018  Rev B   MOUNT BLOCK, ELECTRICAL CONNECTOR, M14.5x1 P, 24mm LG  (PEEK 450G) ",METROL TECHNOLOGY LIMITED,0.75,30,MANUFACTURE OF JIG OR FIXTURE,15/04/2021,
58706/2.01,MILLING,MP/MET3/771-018,"771-018  Rev B   MOUNT BLOCK, ELECTRICAL CONNECTOR, M14.5x1 P, 24mm LG  (PEEK 450G) ",METROL TECHNOLOGY LIMITED,1.25,40,MILL,15/04/2021,
58732/1.01,MILLING,MP/DIA1/398011-0120,"398011-0120 Rev B   BEARING, SQUARE SHAFT, 1K4M",DIAMOND POWER SPECIALTY LTD,27.67,30,MILL,16/04/2021,
58748/3.01,TURNING,MP/MET3/771-067,"771-067  Rev A   CONNECTION INSULATOR, 12.425mm OD, 110.5mm LG  (PEEK GF30)",METROL TECHNOLOGY LIMITED,5.5,20,TURN,19/04/2021,
58748/3.01,TURNING,MP/MET3/771-067,"771-067  Rev A   CONNECTION INSULATOR, 12.425mm OD, 110.5mm LG  (PEEK GF30)",METROL TECHNOLOGY LIMITED,0.75,30,"
MANUFACTURE OF JIG OR FIXTURE",19/04/2021,
58748/3.01,TURNING,MP/MET3/771-067,"771-067  Rev A   CONNECTION INSULATOR, 12.425mm OD, 110.5mm LG  (PEEK GF30)",METROL TECHNOLOGY LIMITED,1.75,40,TURN,19/04/2021,
58748/1.01,MILLING,MP/MET3/771-069,"771-069 Rev B   SOCKET INSULATOR, 12.425mm OD, 4mm ID, 52.5mm LG  (PEEK GF30)",METROL TECHNOLOGY LIMITED,2.42,30,MILL,20/04/2021,
